Brand  ,Name of the product,Price,Purpose,Description,  Time of Use (AM or PM)  ,How often to be used a week,Key Ingredients,Ingredients,How to use (skin),PH Level,Skin Type,Is it safe for sensitive skin?,Age target,Helps with,Results showing in the period,What product should not be used together,UV sensitivity increase,How much to apply,Function,
The Inkey List  ,HYALURONIC ACID  ,$7.99,Hydrate  ,"The product we would recommend to everyone. Hyaluronic Acid is a powerful moisture-binding super ingredient capable of holding 1000x its weight in water. This moisture magnet is natually found in the skin, helping your cells retain as much mositure as possible.

The result? Working across multiple layers of the skin, this super serum hydrates your skin, helping it appear plump and smooth, while reducing the appearance of fine lines. Ensuring your skin is hydrated is essential for it to look healthy, making Hyaluronic Acid a must have.

We suggest using Hyaluronic Acid as a first step after cleansing to help draw moisture into the skin and aid other products used in the next steps of your recipe.",  AM/PM  ,No restrictions  ,"2% Multi molecular Hyaluronic Acid
Matrixyl 3000™ peptide  ","Water (Aqua/Eau), Propanediol, Sodium Hyaluronate, Glycerin, Butylene Glycol, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Carbomer, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1","Clean, damp  ",6.21,Any  ,Yes  ,Any  ,Hydration; Glow; Reduce fine lines and wrinkle;   ,Immediately  ,N/A  ,No  ,Pea-sized  ,Hydrate  ,
The Inkey List  ,RETINOL  ,$9.99,Treat  ,"Your go-to ingredient for skin renewal.

Derived from Vitamin A, Retinol is the gold standard for skin renewal, helping to target the signs of ageing. Released slowly, this serum helps target the appearance of fine lines and wrinkles with less risk of irritation. It also boosts overall skin clarity and uneven skin tone for a brighter, more even complexion.",  PM  ,3,"1% RetiStar stabilised Retinol
0.5% Granactive Retinoid
Squalane for hydration and soothing  ","Water (Aqua / Eau), Glycerin, Butylene Glycol, Propanediol, Dicaprylyl Carbonate, Dimethicone, Retinol, Hydroxyethyl Acrylate/sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Phospholipids, Caprylic/capric Glycerides, Squalane, Dimethyl Isosorbide, Glycine Soja (Soybean) Extract, Carbomer, Sodium Ascorbate, Tocopherol, Polysorbate 60, Tocopheryl Acetate, Glycolipids, Sodium Hydroxide, Disodium Edta, Hydroxypinacolone Retinoate, Glycine Soja (Soybean) Sterol, Leuconostoc/Radish Root Ferment Filtrate, Peg-40 Hydrogenated Castor Oil, Hyaluronic Acid, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol.",Clean  ,5.53,"Aging, Oily  ",No  ,25~  ,Hydration; Calm red skin; Anti-aging  ,6 weeks   ,"Vitamin C, AHA  ",Yes  ,Pea-sized  ,Renews cells  ,
The Inkey List  ,SNOW MUSHROOM MOISTURIZER  ,$9.99,Moisturize  ,"This super-hydrating, lightweight jelly moisturizer helps to soothe, calm and reduce the appearance of redness, while providing an instant cooling effect on the skin.",  AM/PM  ,No restrictions  ,"0.3% TREMELLA FUCIFORMIS EXTRACT PROVIDES A COOLING EFFECT ON THE SKIN

2% AMINO ACID BASED HUMECTANTHELPS TO HYDRATE AND MOISTURIZE SKIN

0.2% MADECASSOSIDE WITH ANTI-ITCHING, ANTI-REDNESS PROPERTIES  ","Aqua (Water/ Eau), Butylene Glycol, Glycerin, Sodium Acrylates Copolymer, Phenoxyethanol, Sodium Caproyl Prolinate,Lecithin,Tremella Fuciformis (Mushroom) Extract, Carbomer, Madecassoside, Sodium Hydroxide, Ethylhexylglycerin, Glyceryl Polyacrylate, Trisodium Ethylenediamine Disuccinate.","Clean, treated  ",6-6.5  ,Dry  ,Yes  ,Any  ,Hydration; Glow; Reduce redness  ,Immediately  ,N/A  ,No  ,Blueberry-sized  ,Seal the moisture  ,
The Inkey List  ,CAFFEINE EYE CREAM  ,$9.99,Treat  ,"This hydrating and lightweight under-eye cream helps to reduce the appearance of puffiness, dark circles and fine lines.
It's a wake-up call for your eyes. This creme / cremes works wonders for the under-eye area, helping to reduce the appearance of puffiness and dark circles. As caffeine is a diuretic it can help to relieve water retention, a major cause of puffiness under the eyes. The added Matrixyl 3000™ peptide can help reduce the appearance of fine lines and the smooth texture provides a perfect canvas for make-up.",  AM/PM  ,No restrictions  ,"Caffeine helps reduce puffiness
Matrixyl 3000™ helps boost collagen production  ","Water (Aqua / Eau), Glycerin, Dicaprylyl Carbonate, Propanediol, Polyglyceryl-6 Distearate, Cetyl Alcohol, Hydroxyethyl Acrylate/sodium Acryloyldimethyl Taurate Copolymer, Jojoba Esters, Glyceryl Dibehenate, Albizia Julibrissin Bark Extract, Squalane, Caffeine, Polyglyceryl-3 Beeswax, Phospholipids, Tribehenin, Ethylhexylglycerin, Xanthan Gum, Glycine Soja (Soybean) Extract, Polysorbate 60, Disodium Edta, Glyceryl Behenate, Glycolipids, Butylene Glycol, Glycine Soja (Soybean) Sterol, Leuconostoc/radish Root Ferment Filtrate, Hyaluronic Acid, Carbomer, Darutoside, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Phenoxyethanol.",Treated  ,5.59,Puffy eyes  ,Yes  ,Any  ,Under eye hydration; under eye brightening; reduce fine lines and wrinkles  ,2 weeks  ,N/A  ,No  ,Pine nut sized  ,Diuretic  ,
The Inkey List  ,BRIGHTEN-I EYE CREAM  ,$9.99,Treat  ,"A brightening under-eye cream that combines skincare and cosmetics, providing both long and short-term benefits. Four times more potent than Vitamin C, Brighten-i under-eye cream reduces the appearance of dark circles and helps to illuminate and prime the under-eye area for an instant boost or an ideal make-up base. The cooling metal applicator helps soothe the under-eye area for instantly awake eyes.",  AM/PM  ,No restrictions  ,"BRIGHTENYL™ 2%: Works to brighten the eye contour over time and even skin tone.
Mica Mineral 1%: Instantly illumunates the under-eye area and brightens.
Blurring Technology 5%: Helps instantly blur the look of fine lines.  ","Aqua (Water/Eau), Cyclopentasiloxane, Coco-Caprylate/Caprate, Glycerin, Caprylic/Capric Triglyceride, Glyceryl Stearate, Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters, Trichilia Emetica (Mafura) Seed Butter, Ethylhexyl Palmitate, Mica, Phenoxyethanol, Cetearyl Alcohol, Sodium Stearoyl Lactylate, Benzyl Alcohol, Hydroxyacetophenone, Sodium Stearoyl Glutamate, Tocopheryl Acetate, Polysilicone-11, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminobutyric Acid, Barium Sulfate, Sodium Gluconate, Sodium Hydroxide, Ethylhexylglycerin, Silica, Dehydroacetic Acid, Centella Asiatica, Panax Ginseng Root Extract, Portulaca Oleracea Extract, Diglucosyl Gallic Acid, Trihydroxystearin, Tin Oxide, Sodium Benzoate, Sodium Hyaluronate, Glucomannan, CI 77891 (Titanium Dioxide).",Treated  ,5.5-6.0  ,Dark circles  ,Yes  ,Any  ,"Hydration; Under eye brightening, under eye puffiness  ",immediately  ,N/A  ,Yes  ,Pine nut sized  ,Brighten  ,
The Inkey List  ,RETINOL EYE CREAM  ,$9.99,Treat  ,"A nighttime eye cream formulated to reduce the appearance of fine lines and wrinkles while giving extra support to your most fragile skin. Our Retinol Eye Cream has been formulated with slow release Vitamin A derivatives. These have been shown to support natural collagen production, while being gentle enough to use around the eyes.",  PM  ,2,"Vitalease™ (Retinol): Stabilized retinoid compound, a slow-release formula that helps to avoid irritation often associated with retinols.
  ","Aqua (Water/Eau), Caprylic/Capric Triglyceride, Glycerin, Butylene Glycol, Pentaerythrityl Distearate, Shea Butter Ethyl Esters, Cetearyl Olivate, Phenoxyetha-nol, Benzyl Alcohol, Sorbitan Olivate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Copernicia Cerifera Cera, Propanediol, Glycogen, Sodium Gluconate, Retinol, Ethylhexylglyc-erin, Dehydroacetic Acid, Citric Acid, Helianthus Annuus Seed Oil, 1,2-Hexanediol, Caprylyl Glycol, Disodium Cocoamphodiacetate, Tocopherol, Xanthan Gum, Humulus.",Treated  ,5.0-6.0  ,Aging  ,No  ,25,Under eye Hydration; Anti-aging  ,6 weeks   ,"Vitamin C, AHA  ",Yes  ,Pine nut sized  ,Renews cells  ,
The Inkey List  ,NIACINAMIDE  ,$6.99,Treat  ,"A lightweight, power-packed serum containing 10% Niacinamide. This naturally occurring B3 vitamin helps to effectively reduce excess oil, blemishes and redness. Additionally formulated with 1% Hyaluronic Acid for added hydration and effective delivery.",  AM/PM  ,No restrictions  ,"10% niacinamide helps to control excess oil, target blemishes and tackle redness
1% hyaluronic acid solution helps to hydrate and plump skin  ","Water (Aqua/ Eau), Niacinamide, Glycerin, Propanediol, Butylene Glycol, Squalane, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyethylcellulose, Phospholipids, Xanthan Gum, Glycine Soja (Soybean) Extract, Allantoin, Disodium Edta, Polysorbate 60, Panthenol, Glycolipids, Glycine Soja (Soybean) Sterol, Disodium Phosphate, Citric Acid, Sodium Phosphate.","Clean, hydrated  ",6.09,"Oily, acne-prone, red  ",No  ,Any  ,Hydration; Reduce redness; Clearer skin  ,N/A  ,N/A  ,Yes  ,Pea-sized  ,Control oil  ,
The Inkey List  ,LACTIC ACID  ,$12.99,Treat  ,"This gentle exfoliator is designed to help your skin appear brighter with a more even skin tone, while providing additional hydration. Lactic Acid removes dead cells from the skin's surface, helping it appear brighter and reducing the appearance of fine lines. With moisturizing properties, and added Hyaluronic Acid, it can help to leave the skin softer and smoother. Recommended if you have dryer or more sensitive skin.",  PM  ,No restrictions  ,"10% lactic acid for mild exfoliation
1% hyaluronic acid for extra hydration  ","Water (Aqua / Eau), Lactic Acid, Propanediol, Glycerin, Sodium Hydroxide, PPG-26-Buteth-26, Sodium Hyaluronate, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Ethylhexylglycer- in, Trisodium Ethylenedi- amine Disuccinate, Agastache Mexicana Flower/Leaf/Stem Extract.","Clean, hydrated  ",3.5-4.0  ,"Sensitive, dry,  ",Yes  ,Any  ,Hydration; Anti-aging; Clearer skin  ,N/A  ,Vitamin C  ,Yes  ,Pea-sized  ,Exfoliate  ,
The Inkey List  ,SALICYLIC ACID CLEANSER  ,$9.99,Clean  ,"This non-drying, lightly foaming cleanser removes makeup and dirt, while helping to reduce blackheads and breakouts.

As well as effectively cleansing the skin, this 2% Salicylic Acid cleanser has an added zinc compound. Together they help with oil-control, reducing blackheads and breakouts and promoting a more even looking complexion.",  AM/PM  ,No restrictions  ,"2% salicylic acid helps to unclog pores and gently exfoliate
Zinc compound helps reduce excess oil
0.5% allantoin helps soothe irritation  ","Aqua (Water), Propanediol, Glycerin, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, PEG-120 Methyl Glucose Dioleate, Salicylic Acid, PEG-150 Pentaerythrityl Tetrastearate, PEG-6 Caprylic/Capric Glycerides, Betaine, Zinc PCA, Phenoxyethanol, Sodium Chloride, Allantoin, Sodium Hydroxide, Coco-Glucoside, Glyceryl Oleate, Benzyl Alcohol, Coconut Acid, Ethylhexylglycerin, Sodium Benzoate, Citric Acid, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Tocopherol, Hydrogenated Palm Glycerides Citrate.",Damp  ,4.5-5.0  ,"Oily, acne-prone, uneven tone  ",Yes  ,Any  ,Hydration; Skin texture improvement; Clearer skin  ,N/A  ,N/A  ,No  ,Blueberry-sized  ,Cleanse  ,
The Inkey List  ,COLLAGEN BOOSTER  ,$10.99,Treat  ,"A serum that works to make the skin appear plumper and firmer, to help reduce the appearance of fine lines and wrinkles.

Using the Matrxyl 3000™ peptide, this smoothing and hydrating serum mimics the effect of what natural collagen would do to your skin, helping it appear plumper and firmer. Syn-Tacks™ Dual Peptide also gives an added boost to aid a reduction in the appearance of fine lines and wrinkles.",  AM/PM  ,No restrictions  ,"Matrixyl 3000™ helps to boost collagen production
Syn®-tacks, a dual peptide, that helps provide collagen boosting benefits  ","Water (Aqua / Eau), Glycerin, Butylene Glycol, Propanediol, Phenoxyethanol, Hydroxyethylcellulose, Disodium EDTA, Leuconostoc/Radish Root Ferment Filtrate, Carbomer, Hyaluronic Acid, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Palmitoyl Dipeptide-5 Diaminohydroxybutyrate, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1.",Clean  ,5.52,"Aging, Uneven skin texture  ",Yes  ,25,Hydration; Anti-aging; Plump skin  ,N/A  ,N/A  ,No  ,Pea-sized  ,Boost production  ,
